Name,Hash,Users,Version,All Hosts,Permissions
uBlock Origin,49ac7879d24464edc5788fe7e224683b7e1f3bbe0ba70e5e6fbaa3c849e87383,7854307,2,True,"['alarms', 'dns', 'menus', 'privacy', 'storage', 'tabs', 'unlimitedStorage', 'webNavigation', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Privacy Badger,e032b1c2ee60796d83f6a7c8936aa378f041d6ec78051781fabb10ce3c495d72,1243225,2,True,"['<all_urls>', 'alarms', 'tabs', 'webNavigation', 'webRequest', 'webRequestBlocking', 'storage', 'privacy']"
Ghostery â€“ Privacy Ad Blocker,f8a0530b99a88985f7d2a4ce650896e57f4383a9e078dbe534bd87756c344bff,1082826,2,True,"['webNavigation', 'webRequest', 'webRequestBlocking', 'cookies', 'tabs', 'http://*/*', 'https://*/*', 'storage']"
AdGuard AdBlocker,e7b9fafc013f2111ee43ccefd982a7ec4b4c769e6fdd54ebdf1c03d5da90ef6b,1060985,2,True,"['tabs', '<all_urls>', 'webRequest', 'webRequestBlocking', 'webNavigation', 'storage', 'contextMenus', 'cookies', 'privacy']"
Bitwarden - Free Password Manager,29a8ea9c7fb707a6c7dd195389bf7ba269837357cbc87ba3f62206740da1b33b,736353,2,True,"['<all_urls>', 'tabs', 'contextMenus', 'storage', 'unlimitedStorage', 'clipboardRead', 'clipboardWrite', 'idle', 'http://*/*', 'https://*/*', 'webRequest', 'webRequestBlocking']"
NoScript Security Suite,d5d1aba94195367623dddeaab357e7b8ba1e427bceab07e1574ede5e0a4cd1a3,312043,2,True,"['contextMenus', 'storage', 'tabs', 'unlimitedStorage', 'webNavigation', 'webRequest', 'webRequestBlocking', 'dns', '<all_urls>']"
Search by Image,547787e46dd03b25e43a8a44309f27c074c8453ca9f2ebe400067fab13f571b4,308763,2,True,"['alarms', 'contextMenus', 'storage', 'unlimitedStorage', 'tabs', 'activeTab', 'notifications', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Decentraleyes,a876c3d20d49de4d475aa517d2ae4df84b8c54945fb423d5c4233f9feeb73f4e,268894,2,True,"['*://*/*', 'privacy', 'storage', 'unlimitedStorage', 'tabs', 'webNavigation', 'webRequest', 'webRequestBlocking']"
FoxyProxy Standard,d7248cb4a1382c9f05a2884c1a69412ee88e8c539feeb59b033c4a0129ef7d78,211042,2,True,"['downloads', 'notifications', 'proxy', 'storage', 'tabs', 'webRequest', 'webRequestBlocking', '<all_urls>']"
ClearURLs,d26555598c73889a7b885c8d16d906a726aaf28c7e9e2efca3c58a774682fdea,209219,2,True,"['<all_urls>', 'webRequest', 'webRequestBlocking', 'storage', 'unlimitedStorage', 'contextMenus', 'webNavigation', 'tabs', 'downloads']"
Google Search Fixer,a924b98a8818e66ec53d84a2306717f9890d542afc5e425fef4af165b0051b9c,124865,2,True,"['webRequest', 'webRequestBlocking', '*://*/*']"
Stylus,37d4d52904349e857b03b998563175cf72ad056f3b431a42614970b418a9e39f,91750,2,True,"['tabs', 'webNavigation', 'webRequest', 'webRequestBlocking', 'contextMenus', 'storage', 'unlimitedStorage', 'alarms', '<all_urls>']"
Web Archives,b75fa999fa422fd64e24acb019afe421645bf2eb15b971e0cd2d77565537d93b,56865,2,True,"['alarms', 'contextMenus', 'storage', 'unlimitedStorage', 'tabs', 'activeTab', 'notifications', 'webRequest', 'webRequestBlocking', '<all_urls>']"
